codeswitch_sentence,languages
يمكن هذي ابو فيصل كا chairman بس الصندوق وش اضافته الص الفلوس اللي جت من ارامكو جت للصندوق همم البيع ال ال المبدئي,Saudi-English
فا ااء اء هذا علاقة الصندوق في ارامكو ok يعني الان اليوم يعتبر صندوق الاستثمارات العامة اكبر,Saudi-English
ااء shareholder بعد حكومة المملكة العربية السعودية,Saudi-English
ااء so هنا ال وعلى مستوى العوائد وين يمكن انتوا صندوق استثمارات فاهم يعني مؤشر عندكم هو العوائد,Saudi-English
احنا و سوينا impairment على ما اعتقد الى خمسين مليار من قيمتها,Saudi-English
يشوف وش ال cash flows اللي تجي اذا هي ماهي بشركة listed,Saudi-English
فكيف يقيمها يقول وش ال ال اء ال cash flows او التدفقات النقدية اللي موجودة منها,Saudi-English
فلما تجي التدفقات النقدية اللي هي من ال operations من ال finance ومن ال investment,Saudi-English
you have to impare it لازم تحطها صفر فالدفاتر حقتك,Saudi-English
فحنا فالدفاتر حقتنا اربعة وخمسين مليار تم صرفها,Saudi-English
فالدفاتر حقتنا صفر صفر yeah فانت لما تجي يعني تاثر على عائد الصندوق,Saudi-English
ما فيه عندنا ال ال ال box accountant information ما كانت موجودة,Saudi-English
فهذي من الاشياء اللي بدينا بعملها كيف الادارة المالية تصير كيف المحاسبين مراجعين ما كان فيه audited financials لا,Saudi-English
فا it was,Saudi-English
هذا عائد كل الصندوق والا الاستثمارات الجديدة لا لا لا كل كل الصندوق ايه كل الصندوق بمعنى اصول ست مية مليار فيه عايد ثمانية يعني اتخيل خمسين مليار دولار سنويا عا دخل يجيكم,Saudi-English
ااء وفيه بعض السنوات يجي اكثر كدخل خاصة لما بعنا سابك بس its cash flows its not فال income statement,Saudi-English
لكن كا كدخل احنا ال aspirations اللي موجودة الان انه نوصل بين السبعة الى الثمانية بالمية,Saudi-English
فهذي going back لل benchmarking exercise اللي سويناه اول شيء,Saudi-English
كيف نقدر نوصل للعايد يعني جينا فيه شيء اسمه ال efficient frontier,Saudi-English
واللي هي كانت سبعة الى ثمانية فالمية ففيه بعض فيه بعض ال funds,Saudi-English
فا its لما سوينا المحافظ هذي كيف نقدر نوصل لل strategic asset allocation,Saudi-English
اعتقد السنة هذي افضل من كل الاسواق العالمية at some stage we were up like thirty four percent versus eighteen percent السوق الامريكي,Saudi-English
liquidity بدت ترجع بشكل جدا كبير وبتكلم لك عن ال liquidity من الاسباب الرجوع لها,Saudi-English
ااء اضافة لبعض الاستثمارات الدولية اللي موجودة عندنا فيه عندنا some stable invesments زي اللي موجودة فالصناديق اللي هي فال private equity فال public market,Saudi-English
دعم كبير زي اللي صار في lucid lucid استثمرنا تقريبا,Saudi-English
one point eight billion dollars وبعدها another maybe two or three hundred million dollars,Saudi-English
at some stage وصلت lucid الى market cap تقريبا ستين مليار,Saudi-English
من اثنين الى ستين مليار so لا الشركة كاملة ايه احنا نملك كنا,Saudi-English
اء خمسة وثمانين بالمية وبعد ما سوينا ال ipo صرنا نملك حوالي خمسة وستين بالمية خمسة وستين بالمية حقتنا هذي حدود اربعين yeah وصلت,Saudi-English
من اثنين مليار الى اربعين yeah which is تاخذدون فلوسي تستثمرونها طبعا الان انخفضت بشكل بسيط فيه عندنا بعض الاستثمارات مثلا سنابل,Saudi-English
اء كانت سبعة مليار هي كراس مال الان قريب الاثنى عشر مليار دولار,Saudi-English
فا فيه limited كل الاستثمارات هذا and we are very conservative by the way مثلا,Saudi-English
كل المشاريع والاراضي اللي عندنا الان عندنا اراضي مثلا neom لحالها كم حوالي اربعة وعشرين الف كيلو متر مربع,Saudi-English
البحر الاحمر ثلاثة واربعين الف كيلو متر مربع اذا ماكنت غلطان,Saudi-English
القدية اللي هي تعتبر من اصغر ال giga projects فوق ال كانت ثمان مية والان فوق الالف,Saudi-English
هذي ومتى متى تبدون تحسبون قيمة لان هذي جزء ايضا من قيمة المشروع اء اء اء once,Saudi-English
the projects start getting commercial operation ويجي فيه cash flows,Saudi-English
فاما انها تشتغل تجاريا او ينباع جزء منها ينباع جزء منها وقتها حتحسب يبتدي يصير يصير التقييم فا هذي لها ال impact يعني لسا بيصير عندك هذا مؤشر على التحفظ في عمليات التقييمات,Saudi-English
اء لان احنا الان ماشين مع ifrs وال ال طبعا الهيئة المحاسبية الهيئة السعودية للمحاسبين القانونيين,Saudi-English
ال ال standards اللي موجودة فا,Saudi-English
بالتاكيد we dont over value anything actually we impare things فا جدا محافظين يعني ال cfo حقنا ياسر السلمان is very conservative,Saudi-English
when its comes لل لل,Saudi-English
معايير المحاسبيين لت لت لتقييم الاصول والمعايير and everything else,Saudi-English
and كل we dont do it ourselves لحالنا حنا نجيب مقيمين كانوا عقاريين او ماليين او او ال auditors اللي هم المراجعين القانونيين,Saudi-English
انت ال external plus the the internal فا هذا السبب فالطلوع تقريبا لل ااء لل,Saudi-English
فيه عندنا ال bylaws حقت الصندوق اللي هي النظام الاساسي لصندوق الاستثمارات العامة هذا ال هذا الشيء الاساسي,Saudi-English
بعد هذا اللي هو المجلس وش يسوي بعده الصلاحيات اللي عطاها المجلس للجان للمحافظ اه ok ok,Saudi-English
بعدها الصلاحيات هذي الصلاحيات اللي موجودة هنا will go down,Saudi-English
now خلينا نعطيك مثال اذا نبغى نبتدي,Saudi-English
يبتدي الاستثمار يمكن من ثلاث اشياء either,Saudi-English
الادارة نفسها تقول we wanna invest في الشيء هذا,Saudi-English
فيتم دراستها مبدئيا على مستوى الفريق اللي موجود مثلا فالادارة الدولية ان كان هو public ولا private,Saudi-English
بعدها تجي لشيء اسمه ال mic managment investment committee,Saudi-English
managment investment committee كانت الاول برئاستي بشكل كامل الان بعد ما صار فيه نائبين,Saudi-English
بس اذا طلعت ال tickets رقم معين اعلى تجي لي in my capacity as mic او management investment committee,Saudi-English
اذا اعلى المبلغ اعلى تروح لشيء اسمه ال bic اللي هو ال board investment committee او لجنة الاستثمار,Saudi-English
قرار استثماري اللي هو لما اتذكر في عشرين عشرين كورونا يوم دخلنا في كورونا لما دخلنا فالاسواق العالمية,Saudi-English
لكن سمو ولي العهد and my self we were against that position نقول انه هذي فرصة تاريخية نقدر نكسب من وراها,Saudi-English
so we went all the way up لل للملك ففعليا الاعضاء صوتوا ضد ضد صوت الرئيس والمحافظ ضد قرار yeah ومشى هذا الامر وصعد الى,Saudi-English
and thats one of the qualities اللي ماهي موجودة ما اعتقد موجودة في اي,Saudi-English
يوم يكون رئيس المجلس هذا طبعا thats one extreme example فيه examples كثيرة كانت موجودة انه,Saudi-English
تتغير القناعات هذي because we show them show him,Saudi-English
ال evidence اللي موجودة اللي هي تقول انه هذا قرار استثماري سليم او هذا قرار استرام استثماري غير سليم,Saudi-English
وياخذ بالراي اللي موجود من الادارة التنفيذية ومن المجلس ما دامك جبت طاريها كم حققتوا في في استثمارات كورونا,Saudi-English
oh it was really good يعني دخلنا تقريبا يمكن حوالي ما كنت غلطان,Saudi-English
قريب الاربعين بالمية فيها دولار فا it was خلال,Saudi-English
خلال فترة الاشهر الاولية لانه حنا اللي كنا متوقعين tell you the truth,Saudi-English
تكون ال recovery as w shape ولا u shape,Saudi-English
واحتمال بسيط انها تكون v shape انه ينزل ويطلع,Saudi-English
فكانت عندنا احنا ال provision نبغى نشتري بثمانين مليار,Saudi-English
ومانزل ارتد فا فا جاء عائد سريع فا جاء عائد سريع ماقدرنا to deploy المبلغ كامل للاسف,Saudi-English
وبعدين thats a funny thing العالم كله كان يتكلم على الدخول من الصحافة العالمية ما نتكلم على المحلية كان يتكلم على دخول,Saudi-English
فال مع النزول هذا فكان i think ال ال effect للطلوع هذا,Saudi-English
من اساسه اللي هو الدخول حقنا cods because we had to disclose كانوا معظم الشركات كنا نطلع فوق الخمسة بالمية لازم تفصح قريب we have to disclose it,Saudi-English
we have to disclose بشكل شهري وش اللي جالسين نسويه وهنا كانت اتذكر ابو فيصل كثير اسئلة طرحت في ذيك الفترة بانه هل الصندوق مضارب,Saudi-English
ولا هو المفترض انه صندوق سيادي قراراته طويلة المدى ثلاثة اشياء سويناها بالنسبة للدخول فاثناء ال pandemic,Saudi-English
strategic poisitions اخذنا فيه شركات الى الان ما طلعنا منها ما تخارجنا منها ابد,Saudi-English
opportunistic اللي هي نشوف وش الفرصة وندخل فيها ونطلع,Saudi-English
which is makes يعني perfect sense,Saudi-English
الشيء الثالث اللي هو يسمونه rescue financing اللي هي نجي على الشركات,Saudi-English
convertibles قروض تحول الى اسهم او شيء زي كذا فا هذا الاساس اللي كنا داخلين فيه ما كنا داخلين على اساس انه,Saudi-English
ننتهز فرصة ونمشي and thats it كنت اتحدث مع يعني بعض الاصدقاء اللي يعملون فالصندوق وكانوا يقولون لي على التحول الكبير اللي صار فيه موضوع ترشيح,Saudi-English
اللي هي to have the right people,Saudi-English
right processes and systems الاجراءات والانظمة السليمة وال ال اجراءات والانظمة السليمة,Saudi-English
and to have the right product وش وش وش انت تبيع وش انت تبغى تسويه المنتج او الخدمة المناسبة exactly,Saudi-English
اليوم is not about people only its about people الاشياء اللي نسويها,Saudi-English
going back you know ال evidence base والبيانات والمعلومات والاشياء هذي,Saudi-English
اء اسسنا تقريبا if im not mistaken,Saudi-English
قاعدة البيانات اللي موجودة عندنا حاليا فيها اكثر من الف واربع مية potential board member,Saudi-English
لاي شركة نجي نشوف وش ال qualities اللي نبيها فال فال,Saudi-English
ال board member,Saudi-English
وال ال بالاضافة لل education و previous experiences تعليمه وخبراته السابقة صحيح,Saudi-English
لل لل ال composition of مجلس الادارة مثلا نبغى على الاقل واحد,Saudi-English
فالناحية ال governance الحوكمة وال compliance الالتزام والحوكمة,Saudi-English
financial ولا accounting background يكون عنده خبرة مالية او محاسبية نبغى واحد مثلا عنده اشياء استراتيجية نبغى واحد عنده خبرة قيادية,Saudi-English
اذا بيكون chairman of the company,Saudi-English
ونبغى احد يكون عارف ال buisness,Saudi-English
فا اذا مالقينا احد يعرف ال buisness من محليا نجيب ناس اجانب,Saudi-English
and were not were not gonna stop,Saudi-English
سعوديين لكن we dont mind انه يكون عالعكس we encourage انه تجي خبرات من الهند من امريكا من,Saudi-English
ف we go out and look for the best qualities على حسب ال profile اللي موجود فالشركة تتحول الى ارقام هذي كلها ارقام,Saudi-English
تحت ادارة chief of staff اللي هو رئ رئيس كب كبير الاداريين,Saudi-English
عنده كذا vertical وحدة منها اللي هي ال board composition,Saudi-English
تروح لادارة im sorry لجنة اسمها ال pcnc اللي هي portfolio companies nomination committee,Saudi-English
ولازم والاعضاء اللي موجودين لهم النائبين الاثنين والمدير الاستثمار العقاري وال giga projects كبير الاداريين ال general counsel,Saudi-English
اء i think thats it,Saudi-English
وال cfo وال كمان ال coo,Saudi-English
once اذا الشركة غير استراتيجية وقف الموضوع هنا,Saudi-English
اذا الشركة استراتيجية بعد هذي تروح لل bic,Saudi-English
اللي هي معليش انا جالس اعطيك معلومات بالعكس بالعكس يمكن مملة بالعكس بس تروح للجنة اللي هي bic board investment committee او لجنة الاستثمارات التابعة للص لمجلس الصندوق,Saudi-English
بعد ما يخلصون منها either وافقوا على ترشيحات او يرفضوها,Saudi-English
فا its not based on friends and family يعني لو اطلب منك الحين تتوسط لي اصير فشركة البحر الاحمر ما حتضبط هاه,Saudi-English
تدمرون الاقتصاد القديم او او القطاع الخاص اللي اليوم يشتكي احيانا من مو احيانا دائما من انه الصندوق ينافسنا not anymore ما اعتقد يشتكون الان,Saudi-English
give me an example كنت اجلس مع كذا كنت اجلس مع كثير من الوزراء يقولوا فلان يقول ومدري,Saudi-English
قلت لهم give me an example,Saudi-English
فتضطر الدولة انها تجيب منشاتها الامنية لتحرس بعض المواقع exactly,Saudi-English
and then شلنا المجلس التاسيسي وسويناه تحت الصندوق يعني الادارة فالصندوق هي اللي تمشي فالفكرة الاساسية,Saudi-English
ال security guards حقين ارامكو من افضل ال security guards اللي موجودين فالبلد اذا ما كانوا الافضل,Saudi-English
و most likely هم الافضل,Saudi-English
so in my capacity as chairman of ارامكو تكلمت معاهم قلت لهم اذا ممكن,Saudi-English
فا اخذنا ال ال ال model اللي موجود في ارامكو سويناه في شركة سيف,Saudi-English
اكيد فيه بيكون مقابل يعني حنا شركة تجارية صندوق الاستثمارات فا لكنه استثمار ما يعتبر expense,Saudi-English
حتى وزارة الداخلية فيه اشياء كثيرة ماتبغى تكون فيها anymore فصارت سيف هي اللي replacement او اي واحد accredited,Saudi-English
الافراد اللي موجودين صارت رواتبهم ممتازة يعني relatively speaking بدال ماهي مثلا,Saudi-English
x صارت يمكن three four xs or اكثر ولا اقل,Saudi-English
فا everybody is winning,Saudi-English
ال ال الخدمات اللي صارت مقدمة صارت خدمات امنية صدقية ماهيب بس فالشكل انه حاط رجل امن,Saudi-English
حتى الملابس اللي موجودة يعني قلنا ال uniform,Saudi-English
there should be some,Saudi-English
يعني لما تجي على doorman في نيويورك تشوف اللبس اللي لابسه,Saudi-English
والقطاعات الاخرى مثلا موضوع روشن فالاسكان amc فالسينما اء exactly مثلا,Saudi-English
اء ال models اللي كانت موجودة مثلا فالكويت معطى لشركة او شركتين فا باقي دول الخليج مختلفة من دولة الى اخرى,Saudi-English
so اء يوم تم اقتراح السينما كنشاط يكون موجود,Saudi-English
basically الصندوق paved the way يعني هو اللي عبد الطريق قدام,Saudi-English
اليوم فيه الظاهر اكثر من ستة شركات فالسينما وبعضها اكبر منكم yeah,Saudi-English
منافس بس وش الخط الفاصل بين انك تدخل في قطاعات او ماتدخل قطاعات اخرى وش اللي يحدد مافيه خط فاصل اي قطاع نشوفه underdeveloped,Saudi-English
ولا underserved ندخل فيه,Saudi-English
فا its better for us to على قولتهم hit the ground running بدال ماتنزل وتعيد تاسيس تاسس خذ هذي الشركة وسويها,Saudi-English
وشوف وش الاشياء اللي ناقصة فيها,Saudi-English
وادخل معاهم we did it we did it شركة زي اكوا باور شركة عظيمة قبل لانجيها وصارت اعظم بعد ماجيناها,Saudi-English
يوم دخلنا فيها زودنا النسبة حقتنا وبعدين دخلناها في السوق الاسهم المحلية والان من افضل الشركات performance فسوق الاسهم المحلية,Saudi-English
we gave them access ل مشاريع للمشاريع اللي renewable energy الطاقة المتجددة,Saudi-English
فا يعني لما تشوف هذا الاشياء كلها روشن مثلا you mentioned روشن روشن initially اكثر المظورين العقاريين,Saudi-English
كانوا يتوقعوا اننا بناخذ الشغل من عندهم no we did not,Saudi-English
سوينا البنية التحتية سوينا ال master plans سوي جبنا everything,Saudi-English
and عطيناهم two things,Saudi-English
تعال طور فيها سو اللي تبيه only,Saudi-English
within الكود حقنا الكود حقنا,Saudi-English
so were working عالعكس يعني,Saudi-English
just نعبد الطريق او paving way للقطاع الخاص انه يشتغل معانا,Saudi-English
كل هذي الشركات وتتاكد من يعني اداءها its again its,Saudi-English
its an institution its not about فرد واحد ولا شخص واحد هو اللي يديرها,Saudi-English
havent said that فيه تقرير biweekly,Saudi-English
فا and طبعا قبل لاتجيني هذي فيه عندي ال chef of staff,Saudi-English
اء لل لل pmo,Saudi-English
يتابعوا مع كل ال portfolio companies وش اللي جالس يصير,Saudi-English
فا its systematic and يعني its again going back لل الافراد وال الانظمة الاجراءات والانظمة وال هذي فا its,Saudi-English
اء regardless قائدها او مح غير محلي انا جلست بهذي الادارة قبل لا ناسس فيها يمكن اكثر من سنتين ادور to the right profile,Saudi-English
pe managers حق يعني اقتصاديين او college professors انه واحد من الجامعة يجي,Saudi-English
او ناس حقين ملكية خاصة ملكية الخاصة اللي هي private equity,Saudi-English
و i met so many people tell you the truth انه interviews وذا and it didnt work out اخر شيء,Saudi-English
لقيت jerry todes jerry todes كان في mckinsey من زمان,Saudi-English
and he did an يعني انا يوم كنت فالقطاع الخاص كنت انظر كمنافس لي الوحيد جدوى جدوى ok,Saudi-English
وهو he is the guy who was behind فهو قريب من السوق المحلي فاهم عارف السوق المحلي بشكل جدا ممتاز,Saudi-English
وعنده he ticked most of these boxes,Saudi-English
طبعا شفت من كل مكان بالعالم ما هو بس من السعودية and i couldnt find the right person and i think انه he wa he is the right choice,Saudi-English
انه ok فيه عندنا استثمارات محلية عندنا استثمارات دولية عندنا استثمارات عقارية عندنا استثمارات فال giga projects عندنا استثمارات فال,Saudi-English
ال sector development عندنا,Saudi-English
وعندنا ال kpis هنا وعندنا ال kpis هنا i need somebody,Saudi-English
to lock على كل الاشياء هذي,Saudi-English
and to see how we can link,Saudi-English
so اء thats his role,Saudi-English
الان كون ادارة and its growing,Saudi-English
and were working on it فا اء on how to improve يعني كيف نطور ال,Saudi-English
اداء الادارة and الحمد لله الان were doing extremely well يعني مثلا اعطيك احد الامثلة,Saudi-English
